cid,MW
444013,661.7670000000004
444033,540.6970000000002
449193,403.212
455658,651.9520000000003
477468,1270.2910000000004
483407,513.6770000000002
489129,348.3970000000002
517045,82.034
644241,529.5260000000002
656628,495.54200000000014
656892,555.5160000000002
657298,170.237
667490,152.18200000000002
1349907,114.173
2723601,167.197
2761171,166.24899999999997
3006171,366.4280000000001
3010818,679.8629999999999
3038497,332.24399999999997
3052762,367.8770000000002
3055172,810.4660000000001
3062316,488.01700000000034
3080904,560.7750000000004
3081276,916.1529999999996
3081361,475.3620000000001
3081362,1755.6580000000006
3081884,623.6570000000005
3085017,149.62099999999998
3086257,605.6910000000004
3086685,386.48
3086686,398.48200000000014
3325225,291.19599999999997
4369359,407.3180000000001
4474778,102.08899999999998
4479094,412.6580000000002
4479097,1347.3849999999993
4517618,70.003
4630253,408.92200000000014
4659568,305.2900000000001
4659569,273.244
5001396,307.32500000000005
5251896,303.406
5273759,515.6000000000003
5277135,447.8900000000001
5281007,182.187
5310993,154.125
5311167,428.90300000000013
5327147,1221.4729999999995
5328940,530.4560000000001
5353894,137.16199999999998
5353980,398.40000000000015
5359596,74.922
5360237,742.6800000000006
5361912,847.0190000000005
5361917,436.3460000000001
5362070,357.3220000000001
5362420,718.807
5381226,822.9529999999996
5462337,302.242
5464096,388.4640000000001
5479141,1237.5180000000005
5487068,936.9930000000004
5487301,301.39400000000006
5488383,340.232
5488547,460.57100000000025
5493381,373.3680000000001
6102852,604.7150000000001
6323497,877.0449999999994
6326970,78.96
6328144,226.0
6328526,508.16700000000014
6331630,729.9080000000001
6333887,997.6500000000002
6398970,395.42200000000014
6433082,251.75399999999996
6433091,221.34399999999997
6433101,452.5380000000001
6433117,392.49900000000014
6433119,435.8890000000001
6435110,1736.184999999999
6437075,583.5970000000004
6440191,1058.052
6442177,958.24
6445540,506.70900000000023
6452749,800.0770000000001
6453361,546.146707
6477186,534.4910000000003
6850789,501.98400000000015
6850791,1269.4730000000004
6918182,513.493
6918313,477.99600000000027
6918366,1004.8410000000003
6918430,534.5800000000003
6918456,373.4490000000001
6918462,517.7760000000004
6918558,411.5860000000001
6918638,318.35400000000004
6918670,430.5410000000002
9794842,245.32199999999995
9800339,386.4480000000001
9810131,684.7000000000003
9811221,835.9440000000003
9812414,595.4880000000003
9815559,197.278
9818231,312.3770000000001
9825285,456.4580000000002
9831414,687.062
9831761,726.2850000000002
9831783,728.7120000000002
9846180,442.47500000000025
9853053,693.7320000000003
9854489,538.5840000000003
9865528,396.51600000000013
9869929,483.96000000000026
9871419,522.5780000000003
9887712,408.878
9898619,1357.7170000000008
9912092,460.5080000000002
9924495,349.39300000000003
9930048,385.9320000000001
9940864,856.3400000000001
9941444,1047.227
9966051,298.4550000000001
10028615,492.59100000000024
10096344,472.5530000000002
10107393,274.32
10113978,437.52900000000017
10163178,485.94700000000023
10178705,393.8460000000002
10182969,459.5060000000003
10324367,519.6870000000005
10465263,195.693
10482134,530.6610000000004
11001318,308.12
11020241,214.186
11163584,339.39900000000017
11167602,482.8210000000001
11228026,484.66300000000024
11234049,370.34400000000016
11235728,429.4390000000001
11238823,568.5420000000004
11254352,274.99
11304743,422.4240000000002
11499245,151.93299999999996
11501341,358.4439380000002
11505907,736.8470000000005
11519069,508.5000000000002
11531537,404.55100000000016
11556711,719.924
11593706,211.645
11597571,450.3450000000002
11597697,455.5990000000001
11672461,957.8680000000004
11707110,615.403
11722286,1477.9629999999986
11947681,215.941
11949646,450.9150000000001
13559279,433.59200000000016
15951529,464.4440000000002
16004692,588.2820000000002
16065945,749.956
16126651,440.5070000000002
16129629,1620.693000000001
16129632,1793.1250000000005
16129701,1879.6800000000012
16130957,1570.35
16131215,1416.0889999999995
16136245,1632.2890000000002
16158207,1586.8190000000009
16213095,580.5770000000005
16220172,392.4990000000002
17754772,306.37300000000005
19371515,307.39700000000005
23668479,482.51300000000015
23689036,185.8922547
23690938,353.33500000000004
24762228,699.944
24776445,421.30500000000006
24812758,444.52400000000017
24822371,359.4319380000002
24826799,532.5700000000003
24838347,196.586
24846132,736.7140000000005
24950485,776.0420000000001
24965990,450.9300000000002
25074470,1311.4730000000006
25074886,1545.0859999999998
25077405,1322.4960000000003
25077993,1323.5280000000005
25094462,529.4580000000002
25102847,501.51400000000024
25880656,443.4320000000002
25880664,443.4320000000002
26275995,456.47500000000025
40468184,352.32200000000006
42611257,489.9310000000001
44134877,958.94
44462760,519.5740000000002
44564722,503.5590000000004
44567678,1816.7160000000008
46181941,1313.4330000000004
46216142,441.3660000000001
51508717,336.374
51601240,464.8580000000001
53477714,637.5250000000004
53627505,57.072
54677977,270.21
54681041,585.6580000000001
54682541,1025.8860000000002
54687131,602.6410000000002
56603655,541.5790000000004
56842239,909.3899999999998
70683024,730.6740000000002
70695640,331.93100000000004
71306834,746.5520000000001
